Golfer,ID,Salary,Projection,exclude,lock,count,cap
Jordan Spieth,1,12000,101.1657778,Jordan Spieth,Jordan Spieth,0,100
Rory McIlroy,2,11800,89.5,Rory McIlroy,Rory McIlroy,0,100
Dustin Johnson,3,11400,89.11388889,Dustin Johnson,Dustin Johnson,0,100
Rickie Fowler,4,10700,99.65366667,Rickie Fowler,Rickie Fowler,0,100
Hideki Matsuyama,5,10500,110.4996667,Hideki Matsuyama,Hideki Matsuyama,0,100
Jason Day,6,10400,60.59488889,Jason Day,Jason Day,0,100
Jon Rahm,7,10100,81.11433333,Jon Rahm,Jon Rahm,0,100
Henrik Stenson,8,9800,63.938,Henrik Stenson,Henrik Stenson,0,100
Sergio Garcia,9,9400,86.66077778,Sergio Garcia,Sergio Garcia,0,100
Brooks Koepka,10,9200,68.85555556,Brooks Koepka,Brooks Koepka,0,100
Justin Rose,11,9000,85.23288889,Justin Rose,Justin Rose,0,100
Justin Thomas,12,8900,76.75,Justin Thomas,Justin Thomas,0,100
Matt Kuchar,13,8800,75.33177778,Matt Kuchar,Matt Kuchar,0,100
Adam Scott,14,8600,69.39455556,Adam Scott,Adam Scott,0,100
Phil Mickelson,15,8500,82.816,Phil Mickelson,Phil Mickelson,0,100
Branden Grace,16,8200,65.02266667,Branden Grace,Branden Grace,0,100
Marc Leishman,17,8100,75.40877778,Marc Leishman,Marc Leishman,0,100
Tommy Fleetwood,18,8000,67.056,Tommy Fleetwood,Tommy Fleetwood,0,100
Alex Noren,19,7900,56.321,Alex Noren,Alex Noren,0,100
Paul Casey,20,7800,83.03855556,Paul Casey,Paul Casey,0,100
Daniel Berger,21,7700,83.56944444,Daniel Berger,Daniel Berger,0,100
Charley Hoffman,22,7600,82.434,Charley Hoffman,Charley Hoffman,0,100
Louis Oosthuizen,23,7500,67.80311111,Louis Oosthuizen,Louis Oosthuizen,0,100
Thomas Pieters,24,7500,61.731,Thomas Pieters,Thomas Pieters,0,100
Charl Schwartzel,25,7500,56.45244444,Charl Schwartzel,Charl Schwartzel,0,100
Matthew Fitzpatrick,26,7400,56.64122222,Matthew Fitzpatrick,Matthew Fitzpatrick,0,100
J.B. Holmes,27,7400,71.89844444,J.B. Holmes,J.B. Holmes,0,100
Russell Henley,28,7400,69.25233333,Russell Henley,Russell Henley,0,100
Patrick Reed,29,7300,58.27222222,Patrick Reed,Patrick Reed,0,100
Bubba Watson,30,7300,50.84444444,Bubba Watson,Bubba Watson,0,100
Brendan Steele,31,7300,77.74766667,Brendan Steele,Brendan Steele,0,100
Ryan Moore,32,7300,55.80833333,Ryan Moore,Ryan Moore,0,100
Brandt Snedeker,33,7200,63.32811111,Brandt Snedeker,Brandt Snedeker,0,100
Jamie Lovemark,34,7200,62.03088889,Jamie Lovemark,Jamie Lovemark,0,100
Rafael Cabrera-Bello,35,7100,62.18622222,Rafael Cabrera-Bello,Rafael Cabrera-Bello,0,100
Si Woo Kim,36,7100,17.29333333,Si Woo Kim,Si Woo Kim,0,100
Kyle Stanley,37,7100,82.16422222,Kyle Stanley,Kyle Stanley,0,100
Tony Finau,38,7000,85.493,Tony Finau,Tony Finau,0,100
Ian Poulter,39,7000,71.41977778,Ian Poulter,Ian Poulter,0,100
Kevin Kisner,40,7000,81.85622222,Kevin Kisner,Kevin Kisner,0,100
Xander Schauffele,41,7000,56.27344444,Xander Schauffele,Xander Schauffele,0,100
Kevin Chappell,42,7000,68.788,Kevin Chappell,Kevin Chappell,0,100
Peter Uihlein,43,7000,67.45,Peter Uihlein,Peter Uihlein,0,100
Bernd Wiesberger,44,7000,71.556,Bernd Wiesberger,Bernd Wiesberger,0,100
Emiliano Grillo,45,7000,57.87333333,Emiliano Grillo,Emiliano Grillo,0,100
Graeme McDowell,46,7000,54.38333333,Graeme McDowell,Graeme McDowell,0,100
Lucas Glover,47,7000,67.67222222,Lucas Glover,Lucas Glover,0,100
Thorbjorn Olesen,48,7000,62.625,Thorbjorn Olesen,Thorbjorn Olesen,0,100
Wesley Bryan,49,7000,66.68922222,Wesley Bryan,Wesley Bryan,0,100
Padraig Harrington,50,7000,39.792,Padraig Harrington,Padraig Harrington,0,100
Hudson Swafford,51,7000,55.675,Hudson Swafford,Hudson Swafford,0,100
Jimmy Walker,52,6900,58.14166667,Jimmy Walker,Jimmy Walker,0,100
Lee Westwood,53,6900,61.857,Lee Westwood,Lee Westwood,0,100
Shane Lowry,54,6900,53.73611111,Shane Lowry,Shane Lowry,0,100
Byeong-Hun An,55,6900,57.02255556,Byeong-Hun An,Byeong-Hun An,0,100
Brian Harman,56,6900,73.35188889,Brian Harman,Brian Harman,0,100
Kevin Na,57,6900,56.75322222,Kevin Na,Kevin Na,0,100
James Hahn,58,6900,59.87777778,James Hahn,James Hahn,0,100
William McGirt,59,6900,46.75277778,William McGirt,William McGirt,0,100
Robert Streb,60,6900,46.83055556,Robert Streb,Robert Streb,0,100
Billy Horschel,61,6900,42.73988889,Billy Horschel,Billy Horschel,0,100
Russell Knox,62,6900,52.31566667,Russell Knox,Russell Knox,0,100
Patrick Cantlay,63,6900,73.571,Patrick Cantlay,Patrick Cantlay,0,100
Bryson DeChambeau,64,6900,47.90288889,Bryson DeChambeau,Bryson DeChambeau,0,100
Cameron Smith,65,6900,54.71155556,Cameron Smith,Cameron Smith,0,100
Zach Johnson,66,6800,72.91988889,Zach Johnson,Zach Johnson,0,100
Steve Stricker,67,6800,68.36111111,Steve Stricker,Steve Stricker,0,100
Bill Haas,68,6800,55.01988889,Bill Haas,Bill Haas,0,100
Webb Simpson,69,6800,68.73444444,Webb Simpson,Webb Simpson,0,100
Andy Sullivan,70,6800,60.5,Andy Sullivan,Andy Sullivan,0,100
Francesco Molinari,71,6800,69.66711111,Francesco Molinari,Francesco Molinari,0,100
