Name,Id,Position,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,fdp,exclude,lock,count,cap
Arizona Cardinals,20469-12546,D,6000,OAK@ARI,ARI,OAK,,,5,Arizona Cardinals,Arizona Cardinals,0,100
Jaron Brown,20469-24589,WR,6000,OAK@ARI,ARI,OAK,Q,Knee,5,Jaron Brown,Jaron Brown,0,100
James Summers,20469-66318,RB,6000,OAK@ARI,ARI,OAK,,,5,James Summers,James Summers,0,100
Ricky Seals-Jones,20469-40977,TE,6000,OAK@ARI,ARI,OAK,,,5,Ricky Seals-Jones,Ricky Seals-Jones,0,100
Trevor Knight,20469-27423,QB,6000,OAK@ARI,ARI,OAK,,,5,Trevor Knight,Trevor Knight,0,100
Kerwynn Williams,20469-39455,RB,6000,OAK@ARI,ARI,OAK,,,5,Kerwynn Williams,Kerwynn Williams,0,100
David Johnson,20469-62497,RB,6000,OAK@ARI,ARI,OAK,,,5,David Johnson,David Johnson,0,100
Marquis Bundy,20469-46121,WR,6000,OAK@ARI,ARI,OAK,,,5,Marquis Bundy,Marquis Bundy,0,100
Phil Dawson,20469-6702,K,6000,OAK@ARI,ARI,OAK,,,5,Phil Dawson,Phil Dawson,0,100
Drew Stanton,20469-7744,QB,6000,OAK@ARI,ARI,OAK,,,5,Drew Stanton,Drew Stanton,0,100
John Brown,20469-54606,WR,6000,OAK@ARI,ARI,OAK,Q,Quadriceps,5,John Brown,John Brown,0,100
Chris Hubert,20469-70486,WR,6000,OAK@ARI,ARI,OAK,,,5,Chris Hubert,Chris Hubert,0,100
Carson Palmer,20469-6748,QB,6000,OAK@ARI,ARI,OAK,,,5,Carson Palmer,Carson Palmer,0,100
Chad Williams,20469-79972,WR,6000,OAK@ARI,ARI,OAK,Q,Lower leg,5,Chad Williams,Chad Williams,0,100
Andre Ellington,20469-24682,RB,6000,OAK@ARI,ARI,OAK,,,5,Andre Ellington,Andre Ellington,0,100
J.J. Nelson,20469-34154,WR,6000,OAK@ARI,ARI,OAK,,,5,J.J. Nelson,J.J. Nelson,0,100
Blaine Gabbert,20469-14194,QB,6000,OAK@ARI,ARI,OAK,,,5,Blaine Gabbert,Blaine Gabbert,0,100
Krishawn Hogan,20469-80030,WR,6000,OAK@ARI,ARI,OAK,,,5,Krishawn Hogan,Krishawn Hogan,0,100
Chris Johnson,20469-6566,RB,6000,OAK@ARI,ARI,OAK,,,5,Chris Johnson,Chris Johnson,0,100
Jermaine Gresham,20469-11431,TE,6000,OAK@ARI,ARI,OAK,,,5,Jermaine Gresham,Jermaine Gresham,0,100
Brittan Golden,20469-22198,WR,6000,OAK@ARI,ARI,OAK,,,5,Brittan Golden,Brittan Golden,0,100
Larry Clark,20469-46269,WR,6000,OAK@ARI,ARI,OAK,,,5,Larry Clark,Larry Clark,0,100
Elijhaa Penny,20469-52931,RB,6000,OAK@ARI,ARI,OAK,,,5,Elijhaa Penny,Elijhaa Penny,0,100
Carlton Agudosi,20469-26055,WR,6000,OAK@ARI,ARI,OAK,,,5,Carlton Agudosi,Carlton Agudosi,0,100
Troy Niklas,20469-33488,TE,6000,OAK@ARI,ARI,OAK,,,5,Troy Niklas,Troy Niklas,0,100
Hakeem Valles,20469-70363,TE,6000,OAK@ARI,ARI,OAK,,,5,Hakeem Valles,Hakeem Valles,0,100
Aaron Dobson,20469-34014,WR,6000,OAK@ARI,ARI,OAK,Q,Hamstring,5,Aaron Dobson,Aaron Dobson,0,100
T.J. Logan,20469-38624,RB,6000,OAK@ARI,ARI,OAK,O,Wrist,5,T.J. Logan,T.J. Logan,0,100
Larry Fitzgerald,20469-6883,WR,6000,OAK@ARI,ARI,OAK,,,5,Larry Fitzgerald,Larry Fitzgerald,0,100
Ifeanyi Momah,20469-39153,TE,6000,OAK@ARI,ARI,OAK,,,5,Ifeanyi Momah,Ifeanyi Momah,0,100
Jeremy Ross,20469-14837,WR,6000,OAK@ARI,ARI,OAK,,,5,Jeremy Ross,Jeremy Ross,0,100
Cole Beasley,20469-22288,WR,6000,DAL@LA,DAL,LA,,,5,Cole Beasley,Cole Beasley,0,100
Rico Gathers,20469-23569,TE,6000,DAL@LA,DAL,LA,,,5,Rico Gathers,Rico Gathers,0,100
Brice Butler,20469-39445,WR,6000,DAL@LA,DAL,LA,Q,Foot,5,Brice Butler,Brice Butler,0,100
Zac Dysert,20469-39454,QB,6000,DAL@LA,DAL,LA,IR,Back,5,Zac Dysert,Zac Dysert,0,100
Connor Hamlett,20469-29477,TE,6000,DAL@LA,DAL,LA,,,5,Connor Hamlett,Connor Hamlett,0,100
Andy Jones,20469-70467,WR,6000,DAL@LA,DAL,LA,,,5,Andy Jones,Andy Jones,0,100
Terrance Williams,20469-31836,WR,6000,DAL@LA,DAL,LA,,,5,Terrance Williams,Terrance Williams,0,100
Alfred Morris,20469-22113,RB,6000,DAL@LA,DAL,LA,,,5,Alfred Morris,Alfred Morris,0,100
Jahad Thomas,20469-41829,RB,6000,DAL@LA,DAL,LA,IR,Hamstring,5,Jahad Thomas,Jahad Thomas,0,100
Dan Bailey,20469-14952,K,6000,DAL@LA,DAL,LA,,,5,Dan Bailey,Dan Bailey,0,100
James Hanna,20469-22123,TE,6000,DAL@LA,DAL,LA,Q,Groin,5,James Hanna,James Hanna,0,100
Kellen Moore,20469-22894,QB,6000,DAL@LA,DAL,LA,,,5,Kellen Moore,Kellen Moore,0,100
Jameill Showers,20469-32366,QB,6000,DAL@LA,DAL,LA,,,5,Jameill Showers,Jameill Showers,0,100
Javontee Herndon,20469-31093,WR,6000,DAL@LA,DAL,LA,,,5,Javontee Herndon,Javontee Herndon,0,100
Geoff Swaim,20469-38523,TE,6000,DAL@LA,DAL,LA,Q,Foot,5,Geoff Swaim,Geoff Swaim,0,100
Darren McFadden,20469-7806,RB,6000,DAL@LA,DAL,LA,,,5,Darren McFadden,Darren McFadden,0,100
Rod Smith,20469-28545,RB,6000,DAL@LA,DAL,LA,,,5,Rod Smith,Rod Smith,0,100
Blake Jarwin,20469-27527,TE,6000,DAL@LA,DAL,LA,,,5,Blake Jarwin,Blake Jarwin,0,100
Ezekiel Elliott,20469-38791,RB,6000,DAL@LA,DAL,LA,O,Suspension,5,Ezekiel Elliott,Ezekiel Elliott,0,100
EZ Nwachukwu,20469-32401,WR,6000,DAL@LA,DAL,LA,,,5,EZ Nwachukwu,EZ Nwachukwu,0,100
Dez Bryant,20469-11435,WR,6000,DAL@LA,DAL,LA,,,5,Dez Bryant,Dez Bryant,0,100
Cooper Rush,20469-44715,QB,6000,DAL@LA,DAL,LA,,,5,Cooper Rush,Cooper Rush,0,100
Noah Brown,20469-56248,WR,6000,DAL@LA,DAL,LA,,,5,Noah Brown,Noah Brown,0,100
Keith Smith,20469-43973,RB,6000,DAL@LA,DAL,LA,,,5,Keith Smith,Keith Smith,0,100
Lance Lenoir,20469-80584,WR,6000,DAL@LA,DAL,LA,,,5,Lance Lenoir,Lance Lenoir,0,100
Dak Prescott,20469-31716,QB,6000,DAL@LA,DAL,LA,,,5,Dak Prescott,Dak Prescott,0,100
Brian Brown,20469-80356,WR,6000,DAL@LA,DAL,LA,,,5,Brian Brown,Brian Brown,0,100
Ryan Switzer,20469-38634,WR,6000,DAL@LA,DAL,LA,Q,Hamstring,5,Ryan Switzer,Ryan Switzer,0,100
Jason Witten,20469-6641,TE,6000,DAL@LA,DAL,LA,,,5,Jason Witten,Jason Witten,0,100
Dallas Cowboys,20469-12530,D,6000,DAL@LA,DAL,LA,,,5,Dallas Cowboys,Dallas Cowboys,0,100
Ronnie Hillman,20469-22003,RB,6000,DAL@LA,DAL,LA,,,5,Ronnie Hillman,Ronnie Hillman,0,100
Sean Mannion,20469-29445,QB,6000,DAL@LA,LA,DAL,,,5,Sean Mannion,Sean Mannion,0,100
Shakeir Ryan,20469-80395,WR,6000,DAL@LA,LA,DAL,,,5,Shakeir Ryan,Shakeir Ryan,0,100
Lenard Tillery,20469-80400,RB,6000,DAL@LA,LA,DAL,,,5,Lenard Tillery,Lenard Tillery,0,100
Lance Dunbar,20469-22292,RB,6000,DAL@LA,LA,DAL,NA,Knee,5,Lance Dunbar,Lance Dunbar,0,100
Aaron Green,20469-32544,RB,6000,DAL@LA,LA,DAL,,,5,Aaron Green,Aaron Green,0,100
Jared Goff,20469-38435,QB,6000,DAL@LA,LA,DAL,,,5,Jared Goff,Jared Goff,0,100
Justin Davis,20469-38441,RB,6000,DAL@LA,LA,DAL,,,5,Justin Davis,Justin Davis,0,100
Paul McRoberts,20469-70444,WR,6000,DAL@LA,LA,DAL,,,5,Paul McRoberts,Paul McRoberts,0,100
Cory Harkey,20469-22849,TE,6000,DAL@LA,LA,DAL,,,5,Cory Harkey,Cory Harkey,0,100
K.D. Cannon,20469-56906,WR,6000,DAL@LA,LA,DAL,,,5,K.D. Cannon,K.D. Cannon,0,100
Tavon Austin,20469-26458,WR,6000,DAL@LA,LA,DAL,Q,Hamstring,5,Tavon Austin,Tavon Austin,0,100
Greg Zuerlein,20469-22109,K,6000,DAL@LA,LA,DAL,,,5,Greg Zuerlein,Greg Zuerlein,0,100
Cooper Kupp,20469-79970,WR,6000,DAL@LA,LA,DAL,,,5,Cooper Kupp,Cooper Kupp,0,100
Josh Reynolds,20469-53097,WR,6000,DAL@LA,LA,DAL,,,5,Josh Reynolds,Josh Reynolds,0,100
Brandon Shippen,20469-26230,WR,6000,DAL@LA,LA,DAL,,,5,Brandon Shippen,Brandon Shippen,0,100
Bradley Marquez,20469-32632,WR,6000,DAL@LA,LA,DAL,IR,Knee,5,Bradley Marquez,Bradley Marquez,0,100
Dan Orlovsky,20469-8071,QB,6000,DAL@LA,LA,DAL,,,5,Dan Orlovsky,Dan Orlovsky,0,100
Mike Thomas,20469-55694,WR,6000,DAL@LA,LA,DAL,O,Suspension,5,Mike Thomas,Mike Thomas,0,100
C.J. Germany,20469-81566,WR,6000,DAL@LA,LA,DAL,,,5,C.J. Germany,C.J. Germany,0,100
Johnny Mundt,20469-40371,TE,6000,DAL@LA,LA,DAL,NA,Undisclosed,5,Johnny Mundt,Johnny Mundt,0,100
Justin Thomas,20469-25012,WR,6000,DAL@LA,LA,DAL,,,5,Justin Thomas,Justin Thomas,0,100
Travis Wilson,20469-32710,TE,6000,DAL@LA,LA,DAL,,,5,Travis Wilson,Travis Wilson,0,100
Temarrick Hemingway,20469-70342,TE,6000,DAL@LA,LA,DAL,,,5,Temarrick Hemingway,Temarrick Hemingway,0,100
Gerald Everett,20469-57299,TE,6000,DAL@LA,LA,DAL,,,5,Gerald Everett,Gerald Everett,0,100
Zach Laskey,20469-25052,RB,6000,DAL@LA,LA,DAL,,,5,Zach Laskey,Zach Laskey,0,100
Pharoh Cooper,20469-40932,WR,6000,DAL@LA,LA,DAL,,,5,Pharoh Cooper,Pharoh Cooper,0,100
Nelson Spruce,20469-26598,WR,6000,DAL@LA,LA,DAL,Q,Calf,5,Nelson Spruce,Nelson Spruce,0,100
Malcolm Brown,20469-32234,RB,6000,DAL@LA,LA,DAL,,,5,Malcolm Brown,Malcolm Brown,0,100
Todd Gurley,20469-30447,RB,6000,DAL@LA,LA,DAL,,,5,Todd Gurley,Todd Gurley,0,100
